Data,Temperatura mínima diária,Temperatura máxima diária,Vento constante máximo,Rajada de vento máxima,Precipitação diária total,Espessura de neve,Pressão,Ícone,Descrição
7/8/2019,16°C,29°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
8/8/2019,15°C,30°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
9/8/2019,15°C,31°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
10/8/2019,15°C,33°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
11/8/2019,14°C,33°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
12/8/2019,16°C,33°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
13/08/2019,15°C,33°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
14/08/2019,15°C,27°C,29 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
15/08/2019,13°C,28°C,24 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
16/08/2019,14°C,29°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
17/08/2019,15°C,30°C,21 Km/h,34 Km/h,0mm,N/A,N/A,,eventos climáticos não informados
18/08/2019,14°C,32°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
19/08/2019,14°C,31°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
20/08/2019,16°C,27°C,15 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
21/08/2019,15°C,30°C,16 Km/h,35 Km/h,0mm,N/A,N/A,,eventos climáticos não informados
22/08/2019,14°C,29°C,21 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
23/08/2019,13°C,27°C,24 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
24/08/2019,12°C,28°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
25/08/2019,12°C,31°C,24 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
26/08/2019,15°C,31°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
27/08/2019,16°C,31°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
28/08/2019,17°C,28°C,21 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
29/08/2019,15°C,31°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
30/08/2019,15°C,33°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
31/08/2019,16°C,35°C,22 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
1/9/2019,19°C,34°C,32 Km/h,N/A,0mm,N/A,N/A,,Tempestade de raios
2/9/2019,18°C,31°C,15 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
3/9/2019,19°C,29°C,16 Km/h,N/A,N/A,N/A,N/A,,Chuva
4/9/2019,19°C,34°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
5/9/2019,18°C,32°C,32 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
6/9/2019,18°C,33°C,26 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
7/9/2019,19°C,33°C,22 Km/h,N/A,0mm,N/A,N/A,,Tempestade de raios
8/9/2019,20°C,34°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
9/9/2019,21°C,35°C,21 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
10/9/2019,20°C,36°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
11/9/2019,20°C,38°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
12/9/2019,19°C,38°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
13/09/2019,19°C,38°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
14/09/2019,21°C,37°C,22 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
15/09/2019,21°C,36°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
16/09/2019,18°C,37°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
17/09/2019,18°C,37°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
18/09/2019,20°C,38°C,29 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
19/09/2019,21°C,37°C,24 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
20/09/2019,19°C,36°C,28 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
21/09/2019,22°C,35°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
22/09/2019,19°C,33°C,34 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
23/09/2019,17°C,32°C,28 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
24/09/2019,18°C,33°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
25/09/2019,18°C,26°C,16 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
26/09/2019,17°C,20°C,11 Km/h,N/A,N/A,N/A,N/A,,Chuva
27/09/2019,14°C,28°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
28/09/2019,15°C,31°C,21 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
29/09/2019,15°C,32°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
30/09/2019,17°C,33°C,22 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
1/10/2019,19°C,36°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
2/10/2019,20°C,36°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
3/10/2019,22°C,36°C,22 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
4/10/2019,18°C,35°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
5/10/2019,21°C,36°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
6/10/2019,20°C,36°C,45 Km/h,63 Km/h,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
7/10/2019,19°C,32°C,15 Km/h,N/A,N/A,N/A,N/A,,Chuva
8/10/2019,19°C,27°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
9/10/2019,20°C,29°C,24 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
10/10/2019,20°C,28°C,16 Km/h,34 Km/h,N/A,N/A,N/A,,Chuva
11/10/2019,18°C,33°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
12/10/2019,20°C,34°C,13 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
13/10/2019,20°C,36°C,21 Km/h,39 Km/h,0mm,N/A,N/A,,Tempestade de raios
14/10/2019,20°C,36°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
15/10/2019,20°C,34°C,28 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
16/10/2019,20°C,35°C,26 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
17/10/2019,21°C,35°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
18/10/2019,23°C,36°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
19/10/2019,22°C,36°C,26 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
20/10/2019,21°C,34°C,24 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
21/10/2019,19°C,29°C,34 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
22/10/2019,19°C,28°C,N/A,N/A,N/A,N/A,N/A,,Chuva
23/10/2019,19°C,33°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
24/10/2019,20°C,35°C,21 Km/h,N/A,0mm,N/A,N/A,,Tempestade de raios
25/10/2019,19°C,34°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
26/10/2019,21°C,37°C,24 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
27/10/2019,22°C,36°C,22 Km/h,N/A,0mm,N/A,N/A,,Tempestade de raios
28/10/2019,19°C,32°C,34 Km/h,52 Km/h,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
29/10/2019,22°C,34°C,28 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
30/10/2019,20°C,35°C,28 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
31/10/2019,21°C,33°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
1/11/2019,21°C,34°C,34 Km/h,52 Km/h,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
2/11/2019,20°C,33°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
3/11/2019,22°C,35°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
4/11/2019,22°C,36°C,22 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
5/11/2019,22°C,34°C,15 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
6/11/2019,21°C,32°C,29 Km/h,N/A,N/A,N/A,N/A,,Chuva
7/11/2019,21°C,30°C,22 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
8/11/2019,21°C,29°C,15 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
9/11/2019,22°C,31°C,21 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
10/11/2019,21°C,30°C,16 Km/h,N/A,N/A,N/A,N/A,,Chuva
11/11/2019,22°C,34°C,26 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
12/11/2019,21°C,33°C,22 Km/h,N/A,N/A,N/A,N/A,,Chuva
13/11/2019,22°C,32°C,24 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
14/11/2019,21°C,29°C,21 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
15/11/2019,21°C,23°C,24 Km/h,37 Km/h,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
16/11/2019,20°C,31°C,16 Km/h,N/A,N/A,N/A,N/A,,Chuva
17/11/2019,18°C,33°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
18/11/2019,19°C,34°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
19/11/2019,22°C,32°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
20/11/2019,21°C,32°C,29 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
21/11/2019,21°C,32°C,15 Km/h,N/A,0mm,N/A,N/A,,Tempestade de raios
22/11/2019,21°C,32°C,34 Km/h,58 Km/h,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
23/11/2019,N/A,N/A,11 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
24/11/2019,20°C,27°C,22 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
25/11/2019,17°C,31°C,22 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
26/11/2019,21°C,33°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
27/11/2019,22°C,31°C,29 Km/h,45 Km/h,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
28/11/2019,21°C,30°C,24 Km/h,N/A,N/A,N/A,N/A,,Chuva
29/11/2019,19°C,29°C,26 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
30/11/2019,22°C,29°C,22 Km/h,N/A,N/A,N/A,N/A,,Chuva
1/12/2019,22°C,29°C,21 Km/h,N/A,N/A,N/A,N/A,,Chuva
2/12/2019,22°C,30°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
3/12/2019,18°C,31°C,21 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
4/12/2019,22°C,32°C,21 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
5/12/2019,22°C,30°C,24 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
6/12/2019,21°C,29°C,26 Km/h,N/A,N/A,N/A,N/A,,Chuva
7/12/2019,22°C,31°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
8/12/2019,20°C,32°C,N/A,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
9/12/2019,21°C,30°C,26 Km/h,N/A,N/A,N/A,N/A,,Chuva
10/12/2019,22°C,29°C,13 Km/h,N/A,N/A,N/A,N/A,,Chuva
11/12/2019,21°C,26°C,22 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
12/12/2019,20°C,28°C,24 Km/h,N/A,N/A,N/A,N/A,,Chuva
13/12/2019,22°C,31°C,26 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
14/12/2019,22°C,31°C,N/A,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
15/12/2019,21°C,33°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
16/12/2019,22°C,34°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
17/12/2019,22°C,33°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
18/12/2019,19°C,28°C,22 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
19/12/2019,22°C,28°C,24 Km/h,N/A,N/A,N/A,N/A,,Chuva
20/12/2019,21°C,31°C,21 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
21/12/2019,21°C,31°C,24 Km/h,N/A,N/A,N/A,N/A,,Chuva
22/12/2019,21°C,30°C,21 Km/h,N/A,N/A,N/A,N/A,,Chuva
23/12/2019,20°C,27°C,N/A,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
24/12/2019,20°C,31°C,N/A,28 Km/h,N/A,N/A,N/A,,Chuva
25/12/2019,20°C,34°C,28 Km/h,46 Km/h,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
26/12/2019,20°C,34°C,N/A,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
27/12/2019,21°C,35°C,15 Km/h,N/A,0mm,N/A,N/A,,Tempestade de raios
28/12/2019,23°C,34°C,11 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
29/12/2019,23°C,34°C,16 Km/h,N/A,N/A,N/A,N/A,,Chuva
1/1/2020,22°C,34°C,15 Km/h,N/A,0mm,N/A,N/A,,Tempestade de raios
2/1/2020,23°C,28°C,29 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
3/1/2020,20°C,29°C,N/A,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
4/1/2020,21°C,31°C,32 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
5/1/2020,21°C,30°C,28 Km/h,55 Km/h,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
6/1/2020,19°C,33°C,24 Km/h,42 Km/h,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
7/1/2020,21°C,31°C,21 Km/h,N/A,0mm,N/A,N/A,,Tempestade de raios
8/1/2020,22°C,31°C,N/A,N/A,N/A,N/A,N/A,,Chuva
9/1/2020,22°C,31°C,13 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
10/1/2020,22°C,30°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
11/1/2020,22°C,26°C,8 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
12/1/2020,23°C,33°C,26 Km/h,54 Km/h,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
13/01/2020,22°C,33°C,22 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
14/01/2020,22°C,33°C,15 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
15/01/2020,22°C,35°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
16/01/2020,22°C,35°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
17/01/2020,22°C,31°C,28 Km/h,54 Km/h,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
18/01/2020,21°C,32°C,22 Km/h,N/A,N/A,N/A,N/A,,Chuva
19/01/2020,22°C,32°C,21 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
20/01/2020,23°C,31°C,22 Km/h,N/A,0mm,N/A,N/A,,Tempestade de raios
21/01/2020,21°C,31°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
22/01/2020,21°C,31°C,N/A,46 Km/h,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
23/01/2020,20°C,27°C,22 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
24/01/2020,21°C,28°C,N/A,N/A,N/A,N/A,N/A,,Chuva
25/01/2020,18°C,31°C,22 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
26/01/2020,18°C,31°C,11 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
27/01/2020,18°C,33°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
28/01/2020,22°C,33°C,21 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
29/01/2020,22°C,30°C,15 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
30/01/2020,22°C,28°C,15 Km/h,N/A,0mm,N/A,N/A,,Tempestade de raios
31/01/2020,21°C,31°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
1/2/2020,22°C,30°C,22 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
2/2/2020,22°C,32°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
3/2/2020,22°C,33°C,N/A,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
4/2/2020,21°C,32°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
5/2/2020,21°C,30°C,13 Km/h,N/A,N/A,N/A,N/A,,Chuva
6/2/2020,21°C,29°C,22 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
7/2/2020,20°C,27°C,28 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
8/2/2020,21°C,29°C,22 Km/h,N/A,N/A,N/A,N/A,,Chuva
9/2/2020,22°C,28°C,32 Km/h,N/A,N/A,N/A,N/A,,Chuva
10/2/2020,22°C,25°C,26 Km/h,N/A,N/A,N/A,N/A,,Chuva
11/2/2020,22°C,27°C,N/A,N/A,N/A,N/A,N/A,,Chuva
12/2/2020,20°C,29°C,21 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
13/02/2020,19°C,30°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
14/02/2020,19°C,33°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
15/02/2020,20°C,34°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
16/02/2020,21°C,34°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
17/02/2020,21°C,32°C,28 Km/h,46 Km/h,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
18/02/2020,22°C,33°C,16 Km/h,N/A,0mm,N/A,N/A,,Tempestade de raios
19/02/2020,22°C,32°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
20/02/2020,22°C,33°C,21 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
21/02/2020,21°C,26°C,N/A,N/A,N/A,N/A,N/A,,Chuva
22/02/2020,21°C,29°C,N/A,N/A,0mm,N/A,N/A,,Tempestade de raios
23/02/2020,19°C,29°C,24 Km/h,N/A,N/A,N/A,N/A,,Chuva
24/02/2020,21°C,29°C,11 Km/h,N/A,N/A,N/A,N/A,,Chuva
25/02/2020,22°C,30°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
26/02/2020,22°C,29°C,22 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
27/02/2020,22°C,27°C,11 Km/h,N/A,N/A,N/A,N/A,,Chuva
28/02/2020,20°C,28°C,24 Km/h,N/A,N/A,N/A,N/A,,Chuva
29/02/2020,20°C,30°C,15 Km/h,N/A,N/A,N/A,N/A,,Nevoeiro
,,,,,,,,,Chuva
1/3/2020,20°C,30°C,28 Km/h,46 Km/h,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
2/3/2020,19°C,27°C,29 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
3/3/2020,19°C,29°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
4/3/2020,18°C,31°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
5/3/2020,18°C,32°C,21 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
6/3/2020,17°C,31°C,22 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
7/3/2020,16°C,32°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
8/3/2020,18°C,32°C,21 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
9/3/2020,18°C,29°C,21 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
10/3/2020,19°C,32°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
11/3/2020,20°C,33°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
12/3/2020,20°C,34°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
13/03/2020,20°C,34°C,11 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
14/03/2020,23°C,33°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
15/03/2020,22°C,33°C,N/A,37 Km/h,0mm,N/A,N/A,,eventos climáticos não informados
